Gene	Name	Class	% conserved	Length	%Promoter	%RNP	%ORF	%antisense
ENSMUSG00000044081	Zfp85os	antisense	0	4350	10.11	2.83	3.70	87.08
ENSMUSG00000044125	9530080O11Rik	antisense	0	1811	47.98	4.20	31.81	47.98
ENSMUSG00000044387	2410080I02Rik	intergenic	0	412	100.00	0.00	60.44	0.00
ENSMUSG00000045391	1700120B22Rik	antisense	0	462	42.42	0.00	0.00	57.58
ENSMUSG00000045464	2810002D19Rik	antisense	0	2038	39.99	2.85	7.21	100.00
ENSMUSG00000045813	Gm9801	intergenic	0	3078	1.01	2.05	3.67	0.00
ENSMUSG00000048603	Gm9828	antisense	0	2553	46.49	4.86	5.41	46.49
ENSMUSG00000051074	4930579K19Rik	antisense	0	1271	79.46	0.00	26.91	0.00
ENSMUSG00000052125	F730043M19Rik	antisense	0	4598	11.22	4.96	3.85	0.00
ENSMUSG00000052629	Gm9885	antisense	0	2208	0.00	0.00	8.29	0.00
ENSMUSG00000054418	2900041M22Rik	intergenic	0	1782	10.49	0.00	14.14	0.00
ENSMUSG00000054426	A930005H10Rik	antisense	0	2383	55.77	0.00	9.57	89.22
ENSMUSG00000054556/ENSMUSG00000084772	Gm4876/Gm15473	antisense	0	4241	0.00	0.00	3.25	16.51
ENSMUSG00000054910	4931415C17Rik	antisense	0	2957	27.56	0.00	5.68	44.03
ENSMUSG00000055048	Gm9962	antisense	0	1414	0.00	0.00	25.74	83.38
ENSMUSG00000055972	2810407A14Rik	intergenic	0	3763	3.35	0.00	2.39	0.00
ENSMUSG00000056771	Gm10010	intergenic	0	2344	18.90	8.49	6.40	0.00
ENSMUSG00000059631	1500035N22Rik	intergenic	0	863	0.00	0.00	0.00	0.00
ENSMUSG00000063018	2010204K13Rik	intergenic	0	1327	36.77	6.33	18.99	0.00
ENSMUSG00000063714	Sp3os	antisense	0	867	19.72	1.38	29.87	19.72
ENSMUSG00000066057	Gm1976	intergenic	0	1907	5.61	3.20	9.91	0.00
ENSMUSG00000068151	A230006K03Rik	intergenic	0	1440	0.00	6.11	33.26	0.00
ENSMUSG00000069713	4933406P04Rik	antisense	0	1788	61.19	0.00	0.00	0.00
ENSMUSG00000070315	4930581F22Rik	antisense	0	5948	0.00	0.00	0.00	71.74
ENSMUSG00000072761	Gm6712	intergenic	0	522	27.97	24.33	54.41	0.00
ENSMUSG00000073073	Gm8098	antisense	0	1497	29.79	0.00	9.42	0.00
ENSMUSG00000073374	C030034I22Rik	intergenic	0	4230	33.07	0.00	0.00	0.00
ENSMUSG00000073867	AA474408	antisense	0	3338	63.66	7.61	0.00	100.00
ENSMUSG00000074171	Gm6658	antisense	0	1884	100.00	0.00	9.55	0.00
ENSMUSG00000074235	Gm10649	antisense	0	4030	15.04	0.00	5.58	15.04
ENSMUSG00000074346	Kcnd3os	antisense	0	1349	24.24	25.87	8.67	29.80
ENSMUSG00000074664	A830092H15Rik	antisense	0	1743	10.21	0.00	18.42	70.45
ENSMUSG00000074776	Gm10754	antisense	0	1628	0.00	0.00	21.74	76.41
ENSMUSG00000074782	4833422C13Rik	antisense	0	5911	7.61	1.44	4.21	47.81
ENSMUSG00000075010	AW112010	intergenic	0	767	23.21	0.00	30.64	0.00
ENSMUSG00000075437	Gm11681	intergenic	0	867	0.00	6.81	14.88	0.00
ENSMUSG00000075463	4930594M22Rik	antisense	0	4337	0.00	0.00	0.00	82.41
ENSMUSG00000075511	1700001L05Rik	intergenic	0	2429	17.00	0.00	8.03	0.00
ENSMUSG00000075514	Gm13375	antisense	0	943	100.00	23.65	10.82	0.00
ENSMUSG00000078143	Gm17344	antisense	0	1709	0.00	0.00	0.00	87.95
ENSMUSG00000078444	Gm10941	antisense	0	706	70.25	0.00	20.82	70.25
ENSMUSG00000078489	Gm17106	antisense	0	457	0.00	0.00	0.00	68.05
ENSMUSG00000079179	Rab10os	antisense	0	6138	17.87	0.00	9.01	11.80
ENSMUSG00000079467	Gm14966	antisense	0	870	0.00	0.00	0.00	86.09
ENSMUSG00000080727	C920021L13Rik	antisense	0	2549	6.39	3.33	0.00	40.17
ENSMUSG00000084501	Gm25319	intergenic	0	324	0.00	0.00	0.00	0.00
ENSMUSG00000084808	9430091E24Rik	antisense	0	1207	6.30	0.00	0.00	74.57
ENSMUSG00000084843	B230312C02Rik	intergenic	0	1696	6.60	0.00	0.00	0.00
ENSMUSG00000084866	A930006K02Rik	intergenic	0	774	68.73	0.00	0.00	0.00
ENSMUSG00000084873	C030047K22Rik	antisense	0	648	0.00	0.00	0.00	0.00
ENSMUSG00000084885	3010001F23Rik	antisense	0	1359	6.48	0.00	6.18	8.90
ENSMUSG00000084898	Gm12371	antisense	0	1089	0.00	0.00	10.47	0.00
ENSMUSG00000084910	C630043F03Rik	antisense	0	2578	35.76	3.41	5.24	0.00
ENSMUSG00000084969	Gm11205	intergenic	0	428	100.00	21.73	0.00	0.00
ENSMUSG00000085024	C230035I16Rik	intergenic	0	968	100.00	0.00	10.85	0.00
ENSMUSG00000085037	4933421O10Rik	antisense	0	3845	20.47	0.00	5.67	0.00
ENSMUSG00000085067	Gm15631	antisense	0	2433	0.00	2.59	6.54	0.00
ENSMUSG00000085071	Gm14066	antisense	0	2051	6.24	0.00	0.00	0.00
ENSMUSG00000085102	1700010K24Rik	antisense	0	224	47.77	0.00	0.00	47.77
ENSMUSG00000085151	1110018N20Rik	antisense	0	1403	13.26	4.13	11.12	77.98
ENSMUSG00000085152	Gm11496	intergenic	0	579	0.00	0.00	0.00	0.00
ENSMUSG00000085175	Gm11423	antisense	0	883	54.81	0.00	23.78	0.00
ENSMUSG00000085185	BC028777	antisense	0	1120	50.45	0.00	0.00	29.64
ENSMUSG00000085193	Gm13322	intergenic	0	244	0.00	64.75	0.00	0.00
ENSMUSG00000085207	Gm11767	antisense	0	490	31.63	0.00	29.80	26.12
ENSMUSG00000085208	Brip1os	antisense	0	6491	2.80	51.29	13.63	95.72
ENSMUSG00000085213	Gm13091	antisense	0	550	100.00	0.00	0.00	0.00
ENSMUSG00000085218	BB218582	intergenic	0	1303	5.37	0.00	6.91	0.00
ENSMUSG00000085225	Gm14637	antisense	0	442	0.00	0.00	50.68	0.00
ENSMUSG00000085229	Gm11672	antisense	0	643	0.00	0.00	0.00	0.00
ENSMUSG00000085238	4930479D17Rik	intergenic	0	737	0.00	0.00	0.00	0.00
ENSMUSG00000085255	Taco1os	antisense	0	642	100.00	0.00	5.61	65.89
ENSMUSG00000085260	Med9os	antisense	0	525	60.57	0.00	22.29	0.00
ENSMUSG00000085316	D330050G23Rik	intergenic	0	2321	7.71	0.00	6.81	0.00
ENSMUSG00000085393	Gm11280	antisense	0	266	0.00	0.00	0.00	27.07
ENSMUSG00000085396	Firre	intergenic	0	8386	4.48	2.59	1.81	0.00
ENSMUSG00000085403	Gm13068	antisense	0	874	0.00	0.00	0.00	89.47
ENSMUSG00000085433	Gm16001	antisense	0	1155	100.00	25.28	19.22	0.00
ENSMUSG00000085457	1110046J04Rik	antisense	0	3482	0.00	0.00	4.16	79.70
ENSMUSG00000085477	Gm13335	antisense	0	554	0.00	0.00	0.00	0.00
ENSMUSG00000085525	Gm13166	intergenic	0	1406	10.67	0.00	0.00	0.00
ENSMUSG00000085543/ENSMUSG00000086714	Gm13568/0610009E02Rik	antisense	0	2252	22.38	0.00	1.95	76.24
ENSMUSG00000085665	Gm12059	intergenic	0	3103	13.15	0.00	7.51	0.00
ENSMUSG00000085704	4921531C22Rik	antisense	0	1964	55.55	0.00	0.00	3.11
ENSMUSG00000085741	5430405H02Rik	antisense	0	3847	9.46	4.52	5.85	83.78
ENSMUSG00000085763	Smc2os	antisense	0	624	50.16	0.00	0.00	0.00
ENSMUSG00000085772	D630024D03Rik	intergenic	0	1558	0.00	7.70	6.87	0.00
ENSMUSG00000085776	5430402O13Rik	antisense	0	1003	37.79	0.00	11.07	0.00
ENSMUSG00000085829	Gm4285	antisense	0	899	32.93	0.00	0.00	0.00
ENSMUSG00000085862	Gm13483	antisense	0	1288	7.14	0.00	0.00	0.00
ENSMUSG00000085873	Ttc39aos1	antisense	0	941	0.00	0.00	0.00	0.00
ENSMUSG00000085881	Gm15912	antisense	0	1345	55.99	0.00	7.36	0.00
ENSMUSG00000085882	2610507I01Rik	antisense	0	1358	65.68	4.42	16.57	0.00
ENSMUSG00000085896	5330429C05Rik	intergenic	0	485	0.00	0.00	16.49	0.00
ENSMUSG00000086006	Gm13293	intergenic	0	1611	0.00	0.00	11.61	0.00
ENSMUSG00000086013	Gm15706	antisense	0	897	49.94	15.38	10.03	0.00
ENSMUSG00000086061	Gm13075	antisense	0	1675	0.00	0.00	0.00	96.66
ENSMUSG00000086075	Gm15728	antisense	0	3559	6.04	3.62	9.95	0.00
ENSMUSG00000086108	Gm5602	antisense	0	1761	10.39	0.00	17.04	0.00
ENSMUSG00000086118	Gm14169	antisense	0	2605	0.00	2.65	0.00	0.00
ENSMUSG00000086119	Gm2415	antisense	0	3729	44.38	4.85	4.91	53.71
ENSMUSG00000086212	Mkln1os	antisense	0	2939	5.38	13.98	4.08	5.38
ENSMUSG00000086237	Gm15591	antisense	0	625	0.00	0.00	0.00	86.88
ENSMUSG00000086283	2810433D01Rik	intergenic	0	1201	10.16	0.00	23.15	0.00
ENSMUSG00000086284	Frmpd1os	antisense	0	412	0.00	0.00	18.20	0.00
ENSMUSG00000086292/ENSMUSG00000086465	Gm16052/Gm16049	antisense	0	886	96.61	0.00	0.00	0.00
ENSMUSG00000086320	Gm12840	intergenic	0	625	100.00	0.00	0.00	0.00
ENSMUSG00000086324	Gm15564	antisense	0	816	64.34	67.65	0.00	0.00
ENSMUSG00000086370	Ftx	intergenic	0	7583	8.70	3.39	3.53	0.00
ENSMUSG00000086382	Chrna1os	antisense	0	699	50.79	0.00	40.63	0.00
ENSMUSG00000086392	Mccc1os	antisense	0	7437	0.00	1.28	0.00	59.14
ENSMUSG00000086468	Etaa1os	antisense	0	386	46.37	93.01	0.00	0.00
ENSMUSG00000086495	Gm13778	antisense	0	666	12.01	0.00	0.00	13.81
ENSMUSG00000086555	Gm13446	antisense	0	2117	22.11	2.83	12.14	22.11
ENSMUSG00000086600	C030005K06Rik	antisense	0	2686	75.65	0.00	2.57	90.54
ENSMUSG00000086601/ENSMUSG00000087397	Rapgef3os1/Rapgef3os2	antisense	0	1105	30.59	0.00	0.00	69.41
ENSMUSG00000086606	Gm13205	antisense	0	560	0.00	21.07	0.00	26.25
ENSMUSG00000086725	A630052C17Rik	antisense	0	2201	100.00	0.00	4.63	100.00
ENSMUSG00000086771	1700080G11Rik	intergenic	0	434	0.00	0.00	0.00	0.00
ENSMUSG00000086843	E030013I19Rik	antisense	0	3767	30.24	0.00	4.70	35.55
ENSMUSG00000086851	A430108G06Rik	antisense	0	1502	31.69	0.00	11.78	0.00
ENSMUSG00000086877	A230072C01Rik	antisense	0	1575	40.83	8.25	12.19	9.90
ENSMUSG00000086889	Phf2os1	antisense	0	495	35.96	0.00	0.00	18.38
ENSMUSG00000087020	Gm16283	antisense	0	520	100.00	0.00	13.27	0.00
ENSMUSG00000087120	Gm12279	antisense	0	292	100.00	0.00	0.00	0.00
ENSMUSG00000087128	Gm12655	intergenic	0	955	17.49	1.88	10.68	0.00
ENSMUSG00000087165	2010001A14Rik	antisense	0	710	25.77	0.00	16.06	0.00
ENSMUSG00000087174	5530601H04Rik	antisense	0	9071	6.21	1.97	2.73	0.00
ENSMUSG00000087269	D330023K18Rik	antisense	0	1246	28.81	6.34	5.30	0.00
ENSMUSG00000087334	AW495222	antisense	0	916	31.77	7.31	38.32	31.44
ENSMUSG00000087344	Gm15627	antisense	0	435	56.78	0.00	0.00	0.00
ENSMUSG00000087396	4933407K13Rik	intergenic	0	6421	2.69	0.00	0.00	0.00
ENSMUSG00000087406	E130215H24Rik	antisense	0	937	78.76	7.58	8.32	100.00
ENSMUSG00000087424	5730405O15Rik	intergenic	0	850	6.82	7.18	5.88	0.00
ENSMUSG00000087433	Gm14167	antisense	0	430	64.19	0.00	0.00	0.00
ENSMUSG00000087466	A330041J22Rik	antisense	0	1822	13.28	0.00	14.93	16.85
ENSMUSG00000087467	Gm13601	antisense	0	400	0.00	0.00	0.00	41.75
ENSMUSG00000087475	4933406I18Rik	antisense	0	1734	17.19	0.00	0.00	0.00
ENSMUSG00000087478	4930506C21Rik	antisense	0	1979	0.00	0.00	9.40	90.20
ENSMUSG00000087479	Gm16835	antisense	0	2802	39.61	3.14	4.78	39.61
ENSMUSG00000087497	2810001G20Rik	antisense	0	1136	46.65	0.00	10.04	0.00
ENSMUSG00000087519	AV039307	antisense	0	1279	43.32	0.00	0.00	38.86
ENSMUSG00000087575	Gm12976	antisense	0	604	32.12	0.00	0.00	0.00
ENSMUSG00000087577	Gm13299	antisense	0	421	33.49	0.00	0.00	0.00
ENSMUSG00000087578	Ccdc142os	antisense	0	1080	46.11	0.00	25.56	100.00
ENSMUSG00000087590	Epb41l4aos	intergenic	0	427	100.00	44.73	0.00	0.00
ENSMUSG00000087620	5330434G04Rik	intergenic	0	6487	5.75	1.31	2.28	0.00
ENSMUSG00000087674	4930447M23Rik	intergenic	0	1772	43.28	7.28	8.97	0.00
ENSMUSG00000087698	Gm13031	antisense	0	920	25.87	0.00	48.26	16.09
ENSMUSG00000088203	Gm23755	intergenic	0	342	0.00	34.80	0.00	0.00
ENSMUSG00000089685	Gm9017	antisense	0	877	0.00	0.00	0.00	23.26
ENSMUSG00000089889	0610040B10Rik	antisense	0	2096	0.00	8.11	2.58	81.25
ENSMUSG00000089983	2010320O07Rik	antisense	0	523	18.74	0.00	0.00	0.00
ENSMUSG00000090002	Gm16006	antisense	0	564	0.00	0.00	40.96	0.00
ENSMUSG00000090087	Gm15939	antisense	0	2142	4.95	0.00	0.00	30.81
ENSMUSG00000091165	Gm17036	antisense	0	252	0.00	0.00	0.00	55.95
ENSMUSG00000091329	1700112D23Rik	antisense	0	719	19.05	0.00	8.76	0.00
ENSMUSG00000091475	2810468N07Rik	antisense	0	1347	7.50	34.37	9.13	0.00
ENSMUSG00000091864	Gm17102	antisense	0	904	35.62	0.00	7.30	0.00
ENSMUSG00000091968	Gm17115	antisense	0	883	68.63	0.00	0.00	0.00
ENSMUSG00000092448	Gm20387	antisense	0	1780	7.25	0.00	0.00	7.25
ENSMUSG00000092492	B230208B08Rik	antisense	0	402	0.00	0.00	0.00	60.95
ENSMUSG00000092536	Gm20501	antisense	0	2653	10.40	0.00	1.70	0.00
ENSMUSG00000092564	BC051226	antisense	0	977	100.00	6.24	25.79	0.00
ENSMUSG00000092626	9130230N09Rik	antisense	0	661	54.61	0.00	0.00	64.15
ENSMUSG00000093064	Gm23153	ncRNA host	0	312	50.00	77.56	0.00	0.00
ENSMUSG00000093579	Gm20036	antisense	0	842	12.11	0.00	0.00	12.11
ENSMUSG00000093606	B130034C11Rik	antisense	0	2480	12.50	2.34	5.69	0.00
ENSMUSG00000094707	A830019P07Rik	intergenic	0	1772	0.00	0.00	0.00	0.00
ENSMUSG00000094732	1500015L24Rik	intergenic	0	777	0.00	7.34	35.01	0.00
ENSMUSG00000095123	Gm21781	intergenic	0	4837	0.00	0.00	0.00	0.00
ENSMUSG00000096221	1500002C15Rik	antisense	0	2182	42.48	0.00	17.74	100.00
ENSMUSG00000096954	Gdap10	intergenic	0	5032	14.49	0.00	0.00	0.00
ENSMUSG00000096956	Snhg18	antisense	0	1484	18.87	0.00	7.48	0.00
ENSMUSG00000096974	Gm26881	antisense	0	657	47.34	0.00	30.44	47.34
ENSMUSG00000096975	Gm16386	intergenic	0	1420	12.68	4.37	5.42	0.00
ENSMUSG00000096995	2810029C07Rik	antisense	0	1952	65.01	8.30	13.47	0.00
ENSMUSG00000097059	Fam120aos	antisense	0	1777	37.42	3.66	9.12	0.00
ENSMUSG00000097062	Gm17586	antisense	0	906	69.87	12.58	19.21	0.00
ENSMUSG00000097063	Pantr2	intergenic	0	1253	16.04	2.08	0.00	0.00
ENSMUSG00000097083	D930019O06Rik	antisense	0	3661	0.00	0.00	6.47	34.09
ENSMUSG00000097093	C330013E15Rik	antisense	0	970	100.00	12.37	0.00	0.00
ENSMUSG00000097102	2310069G16Rik	antisense	0	838	12.89	14.92	11.81	12.89
ENSMUSG00000097123	Gm6297	antisense	0	2244	35.61	0.00	0.00	100.00
ENSMUSG00000097140	Gm26779	intergenic	0	549	0.00	0.00	0.00	0.00
ENSMUSG00000097141	Gm10524	antisense	0	1892	100.00	0.00	23.31	100.00
ENSMUSG00000097145	9230114K14Rik	antisense	0	2754	9.62	0.00	8.68	0.00
ENSMUSG00000097164	Cep83os	antisense	0	6563	5.23	0.32	2.54	0.00
ENSMUSG00000097178	2310002F09Rik	antisense	0	1697	36.65	12.55	24.34	48.56
ENSMUSG00000097193	Gm26664	intergenic	0	703	20.06	0.00	0.00	0.00
ENSMUSG00000097217	Gm26549	antisense	0	1207	84.01	0.00	0.00	0.00
ENSMUSG00000097230	Gm26853	intergenic	0	4008	0.00	0.00	0.00	0.00
ENSMUSG00000097251	5033417F24Rik	antisense	0	1785	10.36	0.00	0.00	89.64
ENSMUSG00000097303	3110083C13Rik	antisense	0	854	16.28	0.00	0.00	0.00
ENSMUSG00000097316	Gm10516	antisense	0	2611	0.00	0.84	0.00	6.32
ENSMUSG00000097326	A330048O09Rik	intergenic	0	761	15.90	0.00	29.83	0.00
ENSMUSG00000097338/ENSMUSG00000102215	Gm2464/Gm2464	antisense	0	3501	0.00	4.40	4.31	87.35
ENSMUSG00000097342	Gm26618	intergenic	0	495	53.33	23.84	0.00	0.00
ENSMUSG00000097350	4732491K20Rik	antisense	0	3140	9.14	0.00	8.76	0.00
ENSMUSG00000097360	9430065F17Rik	antisense	0	1359	12.80	0.00	0.00	0.00
ENSMUSG00000097378	B230208H11Rik	intergenic	0	1139	62.86	20.02	0.00	0.00
ENSMUSG00000097379	Gm26873	antisense	0	2364	0.00	0.00	0.00	87.23
ENSMUSG00000097431	Gm26782	antisense	0	969	19.81	18.89	28.48	19.81
ENSMUSG00000097439	Gm16754	antisense	0	2607	0.00	0.00	0.00	72.77
ENSMUSG00000097452	Gm2824	intergenic	0	2016	0.00	0.00	8.28	0.00
ENSMUSG00000097482	Gm17634	antisense	0	1653	0.00	0.00	0.00	91.05
ENSMUSG00000097496	Gm26653	antisense	0	1212	3.96	0.00	0.00	3.96
ENSMUSG00000097503	3110045C21Rik	antisense	0	1132	14.66	0.00	10.87	54.24
ENSMUSG00000097509	B230322F03Rik	antisense	0	1568	78.70	0.00	40.75	100.00
ENSMUSG00000097515	1700040D17Rik	antisense	0	996	22.59	0.00	0.00	0.00
ENSMUSG00000097525	Platr31	antisense	0	1463	11.69	0.00	0.00	79.70
ENSMUSG00000097587	4930578M01Rik	intergenic	0	903	13.40	0.00	10.85	0.00
ENSMUSG00000097615	Gm2061	antisense	0	2758	19.29	5.44	12.62	19.29
ENSMUSG00000097616	1110019D14Rik	antisense	0	400	25.25	0.00	18.00	0.00
ENSMUSG00000097617	Gm10687	antisense	0	3231	3.84	3.84	2.69	3.84
ENSMUSG00000097683	Gm26644	intergenic	0	956	0.00	0.00	14.12	0.00
ENSMUSG00000097716	1700026J14Rik	antisense	0	892	53.03	0.00	0.00	0.00
ENSMUSG00000097730	Gm26588	antisense	0	4428	0.00	2.55	0.00	36.92
ENSMUSG00000097736	9530059O14Rik	intergenic	0	6614	0.00	64.15	0.00	0.00
ENSMUSG00000097745	AI115009	antisense	0	1849	44.94	0.59	5.84	49.70
ENSMUSG00000097747	Gm26534	antisense	0	1722	13.82	0.00	0.00	13.82
ENSMUSG00000097749	Gm16938	antisense	0	508	79.72	15.75	0.00	0.00
ENSMUSG00000097756	A730056A06Rik	antisense	0	2773	0.00	0.00	4.65	9.27
ENSMUSG00000097772	5430416N02Rik	intergenic	0	4154	19.23	85.84	2.38	0.00
ENSMUSG00000097785	B230217O12Rik	antisense	0	1639	46.43	4.03	12.39	0.00
ENSMUSG00000097796	Gm16702	antisense	0	2381	0.00	3.19	0.00	20.16
ENSMUSG00000097820	E530011L22Rik	antisense	0	5281	48.13	1.63	5.00	100.00
ENSMUSG00000097823/ENSMUSG00000102548	Gm16701/Gm16701	antisense	0	2381	1.34	0.00	0.00	0.00
ENSMUSG00000097835	Gm26910	antisense	0	696	65.23	0.00	0.00	0.00
ENSMUSG00000097839	Gm26909	antisense	0	625	0.00	0.00	0.00	36.48
ENSMUSG00000097868	A330069E16Rik	antisense	0	885	82.82	6.78	0.00	0.00
ENSMUSG00000097881	Celrr	intergenic	0	3868	3.90	2.71	3.26	0.00
ENSMUSG00000097892	Gm26801	antisense	0	1788	2.96	0.00	0.00	2.96
ENSMUSG00000097899	Gm16894	antisense	0	838	28.40	9.19	31.50	0.00
ENSMUSG00000097903	Gm26679	antisense	0	1252	0.00	0.00	0.00	12.06
ENSMUSG00000097915	A330009N23Rik	antisense	0	1389	28.51	0.00	19.51	0.00
ENSMUSG00000097924	A730020E08Rik	antisense	0	3488	11.15	1.63	0.00	0.00
ENSMUSG00000098024	Gm27003	antisense	0	495	26.46	0.00	0.00	26.46
ENSMUSG00000098027	Gm27004	intergenic	0	726	0.00	0.00	0.00	0.00
ENSMUSG00000098088	Gm26916	intergenic	0	350	0.00	0.00	0.00	0.00
ENSMUSG00000098098	Bvht	intergenic	0	696	100.00	0.00	0.00	0.00
ENSMUSG00000098221	Gm27030	antisense	0	463	31.75	0.00	0.00	0.00
ENSMUSG00000098234	Snhg6	antisense	0	1143	62.20	0.00	14.09	37.80
ENSMUSG00000098449	Gm7467	antisense	0	651	100.00	0.00	40.09	0.00
ENSMUSG00000098630	Gm27198	intergenic	0	1514	0.00	0.00	0.00	0.00
ENSMUSG00000098702	1500015A07Rik	antisense	0	2293	52.77	1.79	7.98	13.91
ENSMUSG00000099190	Gm27188	intergenic	0	507	0.00	0.00	0.00	0.00
ENSMUSG00000099468	Gm28271	intergenic	0	349	76.22	0.00	36.68	0.00
ENSMUSG00000099632	2900093K20Rik	antisense	0	566	100.00	0.00	30.74	0.00
ENSMUSG00000099696	2900052N01Rik	intergenic	0	3232	0.00	1.86	13.27	0.00
ENSMUSG00000099760	Gm28800	antisense	0	2240	0.00	0.00	3.30	95.62
ENSMUSG00000099784	Dalir	intergenic	0	2169	0.00	0.00	0.00	0.00
ENSMUSG00000099843	Gm7160	antisense	0	1414	80.62	0.00	0.00	0.00
ENSMUSG00000099881	2810013P06Rik	antisense	0	2136	71.86	2.72	7.02	0.00
ENSMUSG00000099966	2810402E24Rik	antisense	0	3039	32.64	3.06	4.74	0.00
ENSMUSG00000100120	Gm553	intergenic	0	696	0.00	0.00	0.00	0.00
ENSMUSG00000100147	1700047M11Rik	intergenic	0	2843	8.44	0.00	2.43	0.00
ENSMUSG00000100213	Gm28151	intergenic	0	950	42.21	0.00	0.00	0.00
ENSMUSG00000100594	2810414N06Rik	antisense	0	1379	7.25	3.92	6.09	0.00
ENSMUSG00000100599	1700120C14Rik	antisense	0	1728	81.77	0.00	0.00	85.47
ENSMUSG00000100680	1810044D09Rik	intergenic	0	484	100.00	20.04	50.62	0.00
ENSMUSG00000100691	2010320M18Rik	antisense	0	1008	100.00	0.00	16.67	0.00
ENSMUSG00000100811	Gm29083	antisense	0	731	5.88	0.00	0.00	0.00
ENSMUSG00000100891	2810049E08Rik	intergenic	0	1099	0.00	0.00	19.38	0.00
ENSMUSG00000101037	Gm28424	antisense	0	1318	64.49	0.00	0.00	0.00
ENSMUSG00000101583	Gm20753	antisense	0	542	33.95	0.00	0.00	0.00
ENSMUSG00000101856	1700096K18Rik	intergenic	0	1453	68.07	0.00	11.36	0.00
ENSMUSG00000101942	Gm19582	antisense	0	839	39.09	0.00	0.00	60.91
ENSMUSG00000102189	Gm37194	intergenic	0	3030	54.16	0.00	0.00	0.00
ENSMUSG00000102374	Gm38387	intergenic	0	2576	0.00	0.00	0.00	0.00
ENSMUSG00000102600	Gm37266	intergenic	0	2286	0.00	0.00	0.00	0.00
ENSMUSG00000102657	Gm37899	ncRNA host	0	8716	0.00	0.00	0.00	0.00
ENSMUSG00000102820	Gm38353	intergenic	0	612	0.00	0.00	0.00	0.00
ENSMUSG00000102854	C130023A14Rik	ncRNA host	0	3086	0.00	100.00	0.00	0.00
ENSMUSG00000102985	4930456G14Rik	intergenic	0	1329	0.00	0.00	0.00	0.00
ENSMUSG00000103004	2900002M20Rik	intergenic	0	329	100.00	0.00	0.00	0.00
ENSMUSG00000103149	AA914427	intergenic	0	1165	82.23	0.00	0.00	0.00
ENSMUSG00000103334	Gm29771	intergenic	0	1421	14.14	0.00	10.77	0.00
ENSMUSG00000103358	Gm37593	intergenic	0	3253	0.00	0.00	0.00	0.00
ENSMUSG00000103373	Gm37238	intergenic	0	2389	68.40	0.00	0.00	0.00
ENSMUSG00000103486	Gm10657	antisense	0	1030	100.00	11.07	4.08	100.00
ENSMUSG00000103694	Gm37530	antisense	0	4931	0.00	1.18	0.00	100.00
ENSMUSG00000103697	Gm38020	intergenic	0	4675	0.00	2.59	0.00	0.00
ENSMUSG00000103715	4933431K14Rik	antisense	0	1351	100.00	0.00	13.77	100.00
ENSMUSG00000103898	Gm30238	intergenic	0	2602	45.62	0.00	0.00	0.00
ENSMUSG00000103924	Gm37895	intergenic	0	4549	0.00	0.00	0.00	0.00
ENSMUSG00000104011	Gm32391	intergenic	0	537	0.00	0.00	0.00	0.00
ENSMUSG00000104117	Gm20743	antisense	0	4164	0.00	0.00	3.65	39.29
ENSMUSG00000104195	B230377A18Rik	antisense	0	1363	77.40	0.00	11.45	100.00
ENSMUSG00000104237	Gm33533	antisense	0	1631	20.72	3.62	18.76	20.72
ENSMUSG00000104253	Gm37174	antisense	0	3057	36.28	0.00	0.00	0.00
ENSMUSG00000104266	Gm37748	antisense	0	1139	89.64	0.00	0.00	0.00
ENSMUSG00000104586	4921539H07Rik	intergenic	0	4322	18.51	3.96	5.34	0.00
ENSMUSG00000104674	Gm42756	antisense	0	2610	0.00	0.00	8.16	76.28
ENSMUSG00000104675	Gm43689	antisense	0	426	100.00	0.00	0.00	0.00
ENSMUSG00000104868	Gm9954	antisense	0	4724	0.00	5.74	4.57	100.00
ENSMUSG00000104986	1600023N17Rik	antisense	0	1006	100.00	0.00	0.00	0.00
ENSMUSG00000105152	Gm42864	intergenic	0	1434	0.00	8.30	9.41	0.00
ENSMUSG00000105331	Gm29865	intergenic	0	447	0.00	0.00	0.00	0.00
ENSMUSG00000105345	BC030343	antisense	0	2438	54.39	0.00	0.00	0.00
ENSMUSG00000105469	A930036I15Rik	intergenic	0	1044	0.00	0.00	0.00	0.00
ENSMUSG00000105700	Gm42772	intergenic	0	3040	0.00	0.00	0.00	0.00
ENSMUSG00000105736	Gm42456	antisense	0	383	0.00	0.00	0.00	25.33
ENSMUSG00000105771	2900064K03Rik	intergenic	0	3112	0.00	0.00	0.00	0.00
ENSMUSG00000105843	Gm42644	intergenic	0	2272	5.37	2.77	7.13	0.00
ENSMUSG00000105851	9130604C24Rik	antisense	0	955	97.17	0.00	0.00	0.00
ENSMUSG00000105891	A230001M10Rik	intergenic	0	2391	0.00	0.84	6.11	0.00
ENSMUSG00000105957	Gm43254	antisense	0	2490	16.39	0.00	0.00	0.00
ENSMUSG00000105962	Gm42432	intergenic	0	1616	0.00	0.00	0.00	0.00
ENSMUSG00000106001	Gm42826	intergenic	0	2638	0.00	0.00	0.00	0.00
ENSMUSG00000106019	Gm43672	antisense	0	1730	100.00	9.19	8.32	0.00
ENSMUSG00000106093	Gm42722	antisense	0	937	29.03	0.00	14.09	62.86
ENSMUSG00000106106	CT010467.1	intergenic	0	724	100.00	12.02	0.00	0.00
